task,trial,iterations,tokens_in,tokens_out,duration_ms,finish_reason,verifier_pass,error_msg
hard-refactor,1,7,10134,393,6558,stop,true,
hard-refactor,2,7,10159,858,10191,stop,true,
hard-refactor,3,8,13495,697,8958,stop,true,
hard-refactor,4,9,15225,467,6424,stop,true,
hard-refactor,5,7,10137,393,5057,stop,true,
medium-test,1,8,11256,327,6312,stop,true,
medium-test,2,8,11256,408,5096,stop,true,
medium-test,3,8,11256,424,5374,stop,true,
medium-test,4,8,11256,408,5209,stop,true,
medium-test,5,8,11256,408,5241,stop,true,
trivial-doc,1,6,6893,334,5276,stop,true,
trivial-doc,2,5,5408,228,2788,stop,true,
trivial-doc,3,5,5408,233,2744,stop,true,
trivial-doc,4,5,5408,253,2977,stop,true,
trivial-doc,5,5,5408,223,2639,stop,true,
