task,trial,iterations,tokens_in,tokens_out,duration_ms,finish_reason,verifier_pass,error_msg
hard-refactor,1,10,12780,392,6206,stop,true,
hard-refactor,2,10,12780,392,4782,stop,true,
hard-refactor,3,10,12780,392,4754,stop,true,
hard-refactor,4,10,12780,392,4765,stop,true,
hard-refactor,5,10,12780,392,4799,stop,true,
medium-test,1,9,9545,312,5493,stop,true,
medium-test,2,8,7986,295,5028,stop,true,
medium-test,3,8,7986,295,4093,stop,true,
medium-test,4,8,7986,295,4027,stop,true,
medium-test,5,8,7986,295,4119,stop,true,
trivial-doc,1,6,4152,123,1817,stop,true,
trivial-doc,2,6,4212,122,1813,stop,true,
trivial-doc,3,6,4212,122,1515,stop,true,
trivial-doc,4,6,4212,122,1520,stop,true,
trivial-doc,5,6,4212,122,1536,stop,true,
